2020-06-24 22:21:33.603 +08:00 [DBUG] | Hosting starting
2020-06-24 22:21:33.655 +08:00 [INFO] | User profile is available. Using 'C:\Users\Kyaw\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest.
2020-06-24 22:21:33.667 +08:00 [DBUG] | Reading data from file 'C:\Users\Kyaw\AppData\Local\ASP.NET\DataProtection-Keys\key-2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b.xml'.
2020-06-24 22:21:33.677 +08:00 [DBUG] | Found key {2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b}.
2020-06-24 22:21:33.688 +08:00 [DBUG] | Considering key {2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b} with expiration date 2020-09-21 04:33:16Z as default key.
2020-06-24 22:21:33.697 +08:00 [DBUG] | Forwarded activator type request from Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Version=2.1.1.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60
2020-06-24 22:21:33.699 +08:00 [DBUG] | Decrypting secret element using Windows DPAPI.
2020-06-24 22:21:33.700 +08:00 [DBUG] | Forwarded activator type request from Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Version=2.1.1.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60
2020-06-24 22:21:33.703 +08:00 [DBUG] | Opening CNG algorithm 'AES' from provider 'null' with chaining mode CBC.
2020-06-24 22:21:33.705 +08:00 [DBUG] | Opening CNG algorithm 'SHA256' from provider 'null' with HMAC.
2020-06-24 22:21:33.707 +08:00 [DBUG] | Using key {2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b} as the default key.
2020-06-24 22:21:33.707 +08:00 [DBUG] | Key ring with default key {2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b} was loaded during application startup.
2020-06-24 22:21:33.761 +08:00 [DBUG] | Failed to locate the development https certificate at 'null'.
2020-06-24 22:21:33.803 +08:00 [DBUG] | Using development certificate: CN=localhost (Thumbprint: 9C0091F5120CA74E9C2BC150B6DB27ED6AB79D3E)
2020-06-24 22:21:33.805 +08:00 [DBUG] | No listening endpoints were configured. Binding to http://localhost:5000 and https://localhost:5001 by default.
2020-06-24 22:21:33.805 +08:00 [INFO] | Now listening on: http://localhost:5000
2020-06-24 22:21:33.805 +08:00 [INFO] | Now listening on: https://localhost:5001
2020-06-24 22:21:33.805 +08:00 [DBUG] | Loaded hosting startup assembly FBChat
2020-06-24 22:21:33.805 +08:00 [INFO] | Application started. Press Ctrl+C to shut down.
2020-06-24 22:21:33.805 +08:00 [INFO] | Hosting environment: Production
